,R2,PCC,RMSE,MAE
LinearRegression,0.38250589747871233,0.6416012264498747,1.1795554482724047,0.8759377053670188
Ridge,0.40254232825670877,0.6347258839317572,1.160159636080235,0.8832928972911391
Lasso,-0.0002670247926541247,,1.501251372220299,1.1777457975316592
BayesianRidge,0.40541809184674626,0.6370369027089435,1.1573650333116163,0.8807578420726546
ElasticNet,-0.0002670247926541247,,1.501251372220299,1.1777457975316592
DecisionTree,0.28221264849835026,0.645334944247914,1.271203062371645,0.8334932733376995
SVR,0.18667349492555008,0.4412345292578464,1.3536715166914237,1.0382418211386852
KNeighbors,0.30591940533123746,0.5710904906140838,1.2505142761568366,0.9324812480287964
RandomForest,0.6299994175096337,0.7975196155387698,0.9129546907151885,0.6419727547008861
GradientBoosting,0.4026217688285281,0.651741045021691,1.1600610314174356,0.8906203340525785
ExtraTrees,0.6494590376077369,0.8065578312034234,0.8884986559677761,0.6013936964846345
AdaBoost,0.2058940016435394,0.4862078951916592,1.3373379682936861,1.0733924345990977
Bagging,0.5869004315791273,0.766482252151522,0.9646897107584232,0.6825502417137352
MLP,0.48654519876093544,0.722250436271646,1.075455131144491,0.7933473234738413
XGBoost,0.5790263605947885,0.7613765386364945,0.9735403892723982,0.7013480706269453
LightGB,0.5579931892096818,0.7520055379901881,0.9977872824014288,0.7409815555681654
CNN,0.050603045875801736,0.24841542278161102,1.4624656438827515,1.144688367843628
RNN,0.061703095130475186,0.26944624564442965,1.4539024829864502,1.1373203992843628
